filename,title,duration,bpm,beat_strength,energy,energy_variance,brightness,contrast,dynamic_range,onset_rate
Often - The Weeknd.m4a,Often   The Weeknd,249.61451247165533,129.19921875,0.2880684733390808,1.0,0.13592807948589325,0.20034852382267113,24.140412949851218,0.6033722162246704,3.1488553779069766
HAHA - Lil Darkie.m4a,HAHA   Lil Darkie,160.01886621315194,151.99908088235293,0.20285163819789886,1.0,0.18581600487232208,0.2822567681013463,21.650082671128953,0.7522346377372742,3.0746374577147364
"Ric Flair Drip (with Metro Boomin) - Offset, Metro Boomin.m4a","Ric Flair Drip (with Metro Boomin)   Offset, Metro Boomin",188.49959183673468,99.38401442307692,0.41015568375587463,1.0,0.13898193836212158,0.14489110279907433,22.979778072662562,0.5717498064041138,3.888602584534368
goosebumps - Travis Scott.m4a,goosebumps   Travis Scott,250.52009070294784,129.19921875,0.2562483549118042,1.0,0.12491980940103531,0.2086203391831005,22.82614945415055,0.7070494294166565,3.261215488576328
"Chill Bill (feat. J. Davi$ & Spooks) - Rob $tone, J. Davi$, J Spooks.m4a","Chill Bill (feat. J. Davi$ & Spooks)   Rob $tone, J. Davi$, J Spooks",177.2016326530612,107.666015625,0.3455958068370819,1.0,0.16200856864452362,0.17402490785426922,24.399474564249395,0.6125370860099792,3.3464702955701338
The Hills - The Weeknd.m4a,The Hills   The Weeknd,234.24290249433108,112.34714673913044,0.16263297200202942,1.0,0.15056651830673218,0.16926171506399718,24.378153056715064,0.5583032965660095,2.0918456644032513
"Till I Collapse - Eminem, Nate Dogg.m4a","Till I Collapse   Eminem, Nate Dogg",297.9221768707483,86.1328125,0.3448205590248108,1.0,0.15113860368728638,0.21637594807718888,22.366577426672787,0.7245076298713684,3.6754564950532673
20 Min - Lil Uzi Vert.m4a,20 Min   Lil Uzi Vert,220.59972789115648,123.046875,0.4402949810028076,1.0,0.09839705377817154,0.24039726222157504,22.766606479455362,0.5759190320968628,4.768818212319169
Audi. - Smokepurpp.m4a,Audi.   Smokepurpp,158.73160997732427,123.046875,0.24863946437835693,1.0,0.26355502009391785,0.19759817636402063,21.144498999892388,0.7918318510055542,3.0050725250511996
Faucet Failure - Ski Mask The Slump God.m4a,Faucet Failure   Ski Mask The Slump God,155.4808163265306,99.38401442307692,0.3501293957233429,0.987655371427536,0.12796908617019653,0.2342504104306785,22.129563706715537,0.7192201614379883,4.270623319892473
This Could Be Us - Rae Sremmurd.m4a,This Could Be Us   Rae Sremmurd,298.5853968253968,143.5546875,0.2636941969394684,0.21268881857395172,0.03575553745031357,0.21714537302433562,22.437213757312634,0.1646067202091217,3.2520009696516063
"Off the Wall! - XXXTENTACION, Ski Mask The Slump God.m4a","Off the Wall!   XXXTENTACION, Ski Mask The Slump God",203.50984126984127,143.5546875,0.2857823669910431,1.0,0.1204013004899025,0.24011113614867866,23.166347337665133,0.5070366263389587,4.034202940148754
"rockstar - Post Malone, 21 Savage.m4a","rockstar   Post Malone, 21 Savage",218.16163265306122,161.4990234375,0.23665325343608856,1.0,0.132098987698555,0.14525756403701812,24.278415504267237,0.7099325656890869,2.864848380530444
Caroline - Aminé.m4a,Caroline   Aminé,248.89469387755102,117.45383522727273,0.22117574512958527,0.794161930680275,0.14062674343585968,0.22922206949142646,22.86878596759682,0.7272557616233826,2.4347646410579347
parents - YUNGBLUD.m4a,parents   YUNGBLUD,174.66049886621315,161.4990234375,0.3060168921947479,1.0,0.11348163336515427,0.2286871886703862,21.32201415955606,0.5398523211479187,3.5211167035030577
Nonstop - Drake.m4a,Nonstop   Drake,315.675283446712,103.359375,0.26698222756385803,1.0,0.14657069742679596,0.17538053409933077,21.031393725924733,0.5513756275177002,3.554285238139022
Ain't Shit - Doja Cat.m4a,Ain't Shit   Doja Cat,175.12489795918367,123.046875,0.28723007440567017,1.0,0.1735379993915558,0.21655847068663273,22.6181194105093,0.7919054627418518,2.706639692720764
Sky - Playboi Carti.m4a,Sky   Playboi Carti,192.21478458049887,143.5546875,0.18155734241008759,1.0,0.08619415014982224,0.2676471683597399,22.690558459182824,0.4964131712913513,3.444063896774583
"Space Cadet (feat. Gunna) - Metro Boomin, Gunna.m4a","Space Cadet (feat. Gunna)   Metro Boomin, Gunna",214.36662131519273,107.666015625,0.3036380410194397,0.7964710146188736,0.10644377022981644,0.19095622836820034,23.878746639467597,0.4280250668525696,3.092832251272747
After Party - Don Toliver.m4a,After Party   Don Toliver,168.0195918367347,107.666015625,0.2665982246398926,1.0,0.1451607048511505,0.18439034590380862,22.67545858780859,0.6747981309890747,4.088808885261194
Walk - Comethazine.m4a,Walk   Comethazine,139.31972789115648,107.666015625,0.2843643128871918,1.0,0.16046863794326782,0.18777273906882005,22.248610455237134,0.5947305560112,4.055419921875
"Love Hurts (feat. Travis Scott) - Playboi Carti, Travis Scott.m4a","Love Hurts (feat. Travis Scott)   Playboi Carti, Travis Scott",180.60480725623583,143.5546875,0.1929835081100464,1.0,0.09718675911426544,0.20007482904902224,23.787212430167255,0.5627424716949463,4.0032157005335565
"Daddy (feat. Rich The Kid) - Blueface, Rich The Kid.m4a","Daddy (feat. Rich The Kid)   Blueface, Rich The Kid",182.41596371882085,107.666015625,0.3304558992385864,0.6477586179971695,0.07820888608694077,0.1911447090167583,23.718868970397065,0.39952465891838074,4.215639817496181
"Ski - Young Stoner Life, Young Thug, Gunna.m4a","Ski   Young Stoner Life, Young Thug, Gunna",154.5055782312925,123.046875,0.37354013323783875,1.0,0.18529009819030762,0.2843789102045082,22.08414264561484,0.6185060739517212,4.427024628043283
"Hit 'Em Up - Single Version - 2Pac, Outlawz.m4a","Hit 'Em Up   Single Version   2Pac, Outlawz",269.86231292517004,95.703125,0.3782871961593628,1.0,0.08457741886377335,0.20961548576525962,23.009909352876495,0.4437290132045746,5.239709037816211
"Get Dripped (feat. Playboi Carti) - Lil Yachty, Playboi Carti.m4a","Get Dripped (feat. Playboi Carti)   Lil Yachty, Playboi Carti",159.26566893424035,129.19921875,0.2994304299354553,1.0,0.20743532478809357,0.24058823378189242,22.6380033823989,0.7152810096740723,4.3637778602930455
Purple Pills - D12.m4a,Purple Pills   D12,304.5166439909297,123.046875,0.2553689181804657,1.0,0.11259500682353973,0.20365257163473982,22.58477927858647,0.7286164164543152,3.86185787610029
Cha Cha - Freddie Dredd.m4a,Cha Cha   Freddie Dredd,208.2597732426304,129.19921875,0.33134397864341736,0.9874263405799866,0.12033005058765411,0.20630171518383114,23.24594458521288,0.5229555368423462,4.148664845579217
No Type - Rae Sremmurd.m4a,No Type   Rae Sremmurd,197.43927437641725,123.046875,0.29075777530670166,1.0,0.10722866654396057,0.18024182381083512,23.129423861532874,0.4859371483325958,3.3731890582735504
"Forgot About Dre - Dr. Dre, Eminem.m4a","Forgot About Dre   Dr. Dre, Eminem",314.37496598639456,135.99917763157896,0.2926402986049652,0.5376668646931648,0.05752400681376457,0.25213000176060835,22.50492653049568,0.5151832699775696,4.192445781630844
beibs in the trap - Travis Scott.m4a,beibs in the trap   Travis Scott,217.31555555555556,117.45383522727273,0.31015488505363464,1.0,0.14897124469280243,0.2491252107202778,23.667935750622217,0.6514589786529541,3.1198871073298426
"Wow. - Remix - Post Malone, Roddy Ricch, Tyga.m4a","Wow.   Remix   Post Malone, Roddy Ricch, Tyga",168.6465306122449,99.38401442307692,0.3586786091327667,0.825810506939888,0.08191189914941788,0.155980130945412,23.329214274453292,0.3521396219730377,3.8660741945477075
oops! - Yung Gravy.m4a,oops!   Yung Gravy,142.50086167800453,129.19921875,0.35029706358909607,1.0,0.15016508102416992,0.21996507697129036,21.19895040579793,0.6458447575569153,3.9999758126934988
ORANGE SODA - Baby Keem.m4a,ORANGE SODA   Baby Keem,146.40181405895692,172.265625,0.3330722153186798,0.9603898227214813,0.09614941477775574,0.18573085142546225,22.754193149128465,0.43602174520492554,4.077818323750991
No Role Modelz - J. Cole.m4a,No Role Modelz   J. Cole,292.9995464852608,99.38401442307692,0.2938283681869507,0.9440592676401138,0.13426576554775238,0.17606515117031418,22.67062611553307,0.6444644331932068,3.6757736075682903
